file_path,line_number,type,code_snippet,priority
apps\meteor\client\views\root\hooks\useLoadMissedMessages.ts,30,console.error,"console.error('Error loading missed messages:', error);",KEEP
apps\meteor\client\views\root\hooks\useLoginViaQuery.ts,35,console.error,"console.error('Failed to login with token', error);",KEEP
apps\meteor\client\views\root\hooks\loggedIn\useCustomEmoji.ts,29,console.error,"console.error('Error getting custom emoji ', result.error);",KEEP
apps\meteor\client\views\root\hooks\loggedIn\useNotificationUserCalendar.ts,29,console.error,"console.error('Failed to format calendar notification time:', error);",KEEP
apps\meteor\ee\app\license\server\startup.ts,104,console.error,console.error(error);,KEEP
apps\meteor\ee\server\api\licenses.ts,35,console.error,console.error('Unable to parse Cloud_Sync_Announcement_Payload');,KEEP
apps\meteor\ee\server\apps\storage\AppGridFSSourceStorage.ts,65,console.warn,console.warn(,REVIEW
apps\meteor\ee\server\hooks\federation\index.ts,69,console.error,"console.error('[sendMessage] Failed to send message to Native Federation:', error);",KEEP
apps\meteor\ee\server\lib\audit\methods.ts,49,console.warn,console.warn('Deprecation Warning! This method will be removed in the next version (4.0.0)');,REVIEW
apps\meteor\ee\server\local-services\instance\service.ts,191,console.error,"console.error('Instance service did not start correctly', error);",KEEP
apps\meteor\ee\server\startup\presence.ts,47,console.error,"console.error('Error updating connection presence on heartbeat:', err);",KEEP
apps\meteor\lib\ClientLogger.ts,31,console.warn,console.warn(logLine);,REVIEW
apps\meteor\lib\ClientLogger.ts,35,console.error,console.error(logLine);,KEEP
apps\meteor\lib\ClientLogger.ts,38,console.log,console.log(logLine);,REVIEW
apps\meteor\lib\rooms\coordinator.ts,56,console.warn,console.warn(`The route for the room type ${roomType} does not have a path`);,REVIEW
apps\meteor\lib\rooms\coordinator.ts,85,console.warn,console.warn('Deprecated: RoomCoordinator.getRouteData received a room object');,REVIEW
apps\meteor\reporters\jira.ts,49,console.error,"console.error('Error sending test result to JIRA', error);",KEEP
apps\meteor\reporters\jira.ts,80,console.log,console.log(`Sending test result to JIRA: ${JSON.stringify(payload)}`);,REVIEW
apps\meteor\reporters\rocketchat.ts,25,console.log,"console.log('REPORTER_ROCKETCHAT_REPORT is not true, skipping', {",REVIEW
apps\meteor\reporters\rocketchat.ts,51,console.error,"console.error('Error sending test result to Rocket.Chat', JSON.stringify(payload), res);",KEEP
apps\meteor\reporters\rocketchat.ts,54,console.error,"console.error('Unknown error while sending test result to Rocket.Chat', JSON.stringify(payload), error);",KEEP
apps\meteor\server\lib\dataExport\processDataDownloads.ts,244,console.error,console.error(e);,KEEP
apps\meteor\server\lib\logger\showBox.ts,33,console.log,"console.log(color ? colors[color](line) : line),",REVIEW
apps\meteor\server\lib\roles\addUserRoles.ts,24,console.warn,process.env.NODE_ENV === 'development' && console.warn('[WARN] RolesRaw.addUserRoles: roles should be an array');,REMOVE
apps\meteor\server\lib\roles\addUserRoles.ts,31,console.warn,process.env.NODE_ENV === 'development' && console.warn(`[WARN] RolesRaw.addUserRoles: role: ${roleId} not found`);,REMOVE
apps\meteor\server\modules\notifications\notifications.module.ts,337,console.warn,"console.warn(`Invalid eventName: ""${roomId}""`);",REVIEW
apps\meteor\server\modules\streamer\streamer.module.ts,42,console.warn,"console.warn('Streamer instance already exists:', name);",REVIEW
apps\meteor\server\oauth2-server\model.ts,28,console.log,"console.log('[OAuth2Server]', 'in grantTypeAllowed (clientId:', token.client.id, ', grantType:', `${scope})`);",REVIEW
apps\meteor\server\oauth2-server\model.ts,41,console.log,"console.log('[OAuth2Server]', 'in getAccessToken (bearerToken:', accessToken, ')');",REVIEW
apps\meteor\server\oauth2-server\model.ts,69,console.log,"console.log('[OAuth2Server]', 'in getClient (clientId:', clientId, ', clientSecret:', clientSecret, ')');",REVIEW
apps\meteor\server\oauth2-server\model.ts,94,console.log,"console.log('[OAuth2Server]', `in getAuthorizationCode (authCode: ${authorizationCode})`);",REVIEW
apps\meteor\server\oauth2-server\model.ts,130,console.log,console.log(,REVIEW
apps\meteor\server\oauth2-server\model.ts,169,console.log,console.log(,REVIEW
apps\meteor\server\oauth2-server\model.ts,213,console.log,"console.log('[OAuth2Server]', `in getRefreshToken (refreshToken: ${refreshToken})`);",REVIEW
apps\meteor\server\oauth2-server\model.ts,251,console.log,"console.log('[OAuth2Server]', `in revokeToken (token: ${token.accessToken})`);",REVIEW
